start_time,personId,dwell_time,end_time,FPS,
11-22-2022-13-16-19,5,35 Sec,11-22-2022-13-16-19,FPS: 1.13,58
11-22-2022-13-16-19,5,36 Sec,11-22-2022-13-16-20,FPS: 1.12,59
11-22-2022-13-16-20,5,36 Sec,11-22-2022-13-16-20,FPS: 1.12,60
11-22-2022-13-16-20,5,37 Sec,11-22-2022-13-16-21,FPS: 1.14,61
11-22-2022-13-16-21,5,38 Sec,11-22-2022-13-16-22,FPS: 1.14,62
11-22-2022-13-16-22,5,38 Sec,11-22-2022-13-16-22,FPS: 1.13,63
11-22-2022-13-16-22,5,39 Sec,11-22-2022-13-16-23,FPS: 1.15,64
11-22-2022-13-16-23,5,40 Sec,11-22-2022-13-16-23,FPS: 1.15,65
11-22-2022-13-16-23,5,40 Sec,11-22-2022-13-16-24,FPS: 1.16,66
11-22-2022-13-16-24,5,41 Sec,11-22-2022-13-16-25,FPS: 1.16,67
11-22-2022-13-16-25,5,41 Sec,11-22-2022-13-16-25,FPS: 1.16,68
11-22-2022-13-16-25,5,42 Sec,11-22-2022-13-16-26,FPS: 1.17,69
11-22-2022-13-16-26,5,43 Sec,11-22-2022-13-16-26,FPS: 1.17,70
11-22-2022-13-16-26,5,43 Sec,11-22-2022-13-16-27,FPS: 1.18,71
11-22-2022-13-16-27,5,44 Sec,11-22-2022-13-16-28,FPS: 1.18,72
11-22-2022-13-16-28,5,45 Sec,11-22-2022-13-16-28,FPS: 1.18,73
11-22-2022-13-16-28,5,45 Sec,11-22-2022-13-16-29,FPS: 1.19,74
11-22-2022-13-16-29,5,46 Sec,11-22-2022-13-16-30,FPS: 1.19,75
11-22-2022-13-16-30,5,46 Sec,11-22-2022-13-16-30,FPS: 1.19,76
11-22-2022-13-16-30,5,47 Sec,11-22-2022-13-16-31,FPS: 1.20,77
11-22-2022-13-16-31,5,48 Sec,11-22-2022-13-16-32,FPS: 1.20,78
11-22-2022-13-16-32,5,48 Sec,11-22-2022-13-16-32,FPS: 1.19,79
11-22-2022-13-16-32,5,49 Sec,11-22-2022-13-16-33,FPS: 1.21,80
11-22-2022-13-16-33,5,50 Sec,11-22-2022-13-16-34,FPS: 1.21,81
11-22-2022-13-16-34,5,51 Sec,11-22-2022-13-16-34,FPS: 1.20,82
11-22-2022-13-16-34,5,51 Sec,11-22-2022-13-16-35,FPS: 1.22,83
11-22-2022-13-16-35,5,52 Sec,11-22-2022-13-16-36,FPS: 1.21,84
11-22-2022-13-16-36,5,53 Sec,11-22-2022-13-16-36,FPS: 1.21,85
11-22-2022-13-16-36,5,53 Sec,11-22-2022-13-16-37,FPS: 1.22,86
11-22-2022-13-16-37,5,54 Sec,11-22-2022-13-16-38,FPS: 1.22,87
